Title,Sub_title,Price in Euro per month,Features,Surface_area,No of rooms,Agent
Apartment Ferguutstraat,1055 SV Amsterdam (Erasmuspark),1650,Upholstered,53,3,CITYHOP Real Estate
Apartment Faas Wilkesstraat 161 A,1095 MD Amsterdam (Zeeburgereiland/Nieuwe Diep),1395,Shell,73,2,LIV Residential
Apartment Singel,1017 AX Amsterdam (Grachtengordel-Zuid),1950,Upholstered,52,2,Hausing
Apartment IJburglaan 883,1087 EN Amsterdam (IJburg West),2500,Upholstered,123,4,JLG Real Estate
Apartment Van Reigersbergenstraat 522,1052 WG Amsterdam (Frederik Hendrikbuurt),2000,Furnished,80,3,Amsterdam Housing
Apartment Burmanstraat,1091 SK Amsterdam (Weesperzijde),1795,Furnished,50,2,A Plus Apartments
Apartment Hemonystraat 1 II,1074 BK Amsterdam (Oude Pijp),2750,Upholstered,110,4,Grand Relocation
Apartment Gerard Doustraat,1073 XB Amsterdam (Oude Pijp),1850,Upholstered,46,2,BIC Makelaardij
Apartment Slotermeerlaan,1064 GZ Amsterdam (Slotermeer-Zuidwest),1700,Furnished,75,2,Expathousing.com (Amsterdam)
Apartment Willem Parelstraat 268,1018 KZ Amsterdam (Oostelijke Eilanden/Kadijken),1995,Furnished,45,2,AmsterHomes
Apartment Overtoom 72 1,1054 HL Amsterdam (Helmersbuurt),2100,Upholstered,58,3,LIV Residential
Apartment Woestduinstraat 42 1,1058 TG Amsterdam (Hoofddorppleinbuurt),1895,Upholstered,54,3,LIV Residential
Apartment Singel 103 3,1012 VG Amsterdam (Burgwallen-Nieuwe Zijde),2500,Furnished,110,3,Van Huis Uit Makelaars
Apartment Noorderstraat 58 B,1017 TV Amsterdam (De Weteringschans),2500,Furnished,79,3,JLG Real Estate
Apartment Prins Hendriklaan 38 D,1075 BD Amsterdam (Willemspark),2350,Upholstered or furnished,100,3,Ing. Roelfzema Vastgoedadviseurs BV
Apartment Bilderdijkstraat,1052 NA Amsterdam (Da Costabuurt),2250,Upholstered,80,3,Expathousing.com (Amsterdam)
Apartment Bestevâerstraat,1055 TM Amsterdam (Landlust),1650,Furnished,60,3,HB Housing
Apartment Amstelkade,1078 BA Amsterdam (Scheldebuurt),2700,²4 rooms1929,104,4,Heeren Makelaars B.V.
